descriptions,General,User,Fourier
,General,DateTime,14-08-2025 19:32:02
,General,Origin,"Software revision: mpc_redes_obs_fis.sdf, mpc_redes_obs_fis.rta\nVariable description: mpc_redes_obs_fis.sdf\n    Platform / Device: Platform [DS1202 MicroLabBox, assigned to 'ds1202']\nControlDesk version: 7.5"
,General,Description,
,Recording,StartCondition,None (Save Measurement Buffer)
,Recording,StopCondition,None
,Measurement,XAxisOffset,0
,Measurement,Length,45.00133021
,Measurement,StartTimestamp,40.3231436
,Measurement,StopTimestamp,85.32447381
,MDF,Department,
,MDF,Project,
,MDF,MeasurementObject,

trace_size,45001
trace_types,4,4,4,4,4,4,4,4
trace_names,,In1,In1,In1,turnaroundTime,In1,In1,In1
trace_units,,,,,,,,
devices,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform
raster,HostService,HostService,HostService,HostService,HostService,HostService,HostService,HostService
description,,,,,,,,
displayidentifier,,,,,,,,
path,,Model Root/pos_est,Model Root/vel_est,Model Root/u_act,Task Info/Timer Task 1,Model Root/ref rad,Model Root/pos,Model Root/pert
flags,,0,0,0,0,0,0,0
min,,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
max,,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
minWeak,,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
maxWeak,,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
,0.034000440197750947,0.170166015625,-0.006591796875,-0.21337890625,6.3999999999999997e-06,0.17453292519943295,0.17027186745530618,0.204833984375
,0.035001031988521447,0.170166015625,-0.006591796875,-0.21337890625,6.4799999999999998e-06,0.17453292519943295,0.17027186745530618,0.204833984375
,0.036001303765864634,0.170166015625,-0.006591796875,-0.21337890625,6.3999999999999997e-06,0.17453292519943295,0.17027186745530618,0.204833984375
,0.037000615515133006,0.170166015625,-0.006591796875,-0.21337890625,6.5200000000000003e-06,0.17453292519943295,0.17027186745530618,0.204833984375
,0.038000607287592914,0.170166015625,-0.006591796875,-0.21337890625,6.4799999999999998e-06,0.17453292519943295,0.17027186745530618,0.204833984375
,0.039001199072259851,0.170166015625,-0.00653076171875,-0.21478271484375,6.4799999999999998e-06,0.17453292519943295,0.17027186745530618,0.20623779296875
,0.040001270843504244,0.170166015625,-0.00653076171875,-0.21478271484375,6.3999999999999997e-06,0.17453292519943295,0.17027186745530618,0.20623779296875
,0.04100070260009403,0.170166015625,-0.00653076171875,-0.21478271484375,6.5200000000000003e-06,0.17453292519943295,0.17027186745530618,0.20623779296875
,0.042000734368890846,0.170166015625,-0.00653076171875,-0.21478271484375,6.4400000000000002e-06,0.17453292519943295,0.17027186745530618,0.20623779296875
,0.043001326159661346,0.170166015625,-0.00653076171875,-0.21478271484375,6.5200000000000003e-06,0.17453292519943295,0.17027186745530618,0.20623779296875
,0.044001397930905739,0.170166015625,-0.00653076171875,-0.21478271484375,6.3999999999999997e-06,0.17453292519943295,0.17027186745530618,0.20623779296875
,0.045000629675286064,0.170166015625,-0.00653076171875,-0.21478271484375,6.5200000000000003e-06,0.17453292519943295,0.17027186745530618,0.20623779296875
,0.04600082145385187,0.170166015625,-0.00653076171875,-0.21478271484375,6.3600000000000001e-06,0.17453292519943295,0.17027186745530618,0.20623779296875
,0.047001373242181899,0.170166015625,-0.00653076171875,-0.21478271484375,6.5599999999999999e-06,0.17453292519943295,0.17027186745530618,0.20623779296875
,0.048001565014644143,0.170166015625,-0.00653076171875,-0.21478271484375,6.4400000000000002e-06,0.17453292519943295,0.17027186745530618,0.20623779296875
,0.049000756762694664,0.170166015625,-0.00653076171875,-0.21478271484375,6.5200000000000003e-06,0.17453292519943295,0.17027186745530618,0.20623779296875
,0.050000988537597379,0.170166015625,-0.00653076171875,-0.21478271484375,6.3600000000000001e-06,0.17453292519943295,0.17027186745530618,0.20623779296875
,0.051001580328367879,0.170166015625,-0.00653076171875,-0.2161865234375,6.5200000000000003e-06,0.17453292519943295,0.17027186745530618,0.2076416015625
,0.052001732104486109,0.170166015625,-0.00653076171875,-0.2161865234375,6.4400000000000002e-06,0.17453292519943295,0.17027186745530618,0.2076416015625
,0.053000883843992597,0.170166015625,-0.00653076171875,-0.2161865234375,6.5200000000000003e-06,0.17453292519943295,0.17027186745530618,0.2076416015625
,0.054001035620110827,0.170166015625,-0.00653076171875,-0.2161865234375,6.3600000000000001e-06,0.17453292519943295,0.17027186745530618,0.2076416015625
,0.055001787414546754,0.170166015625,-0.00653076171875,-0.2161865234375,6.4400000000000002e-06,0.17453292519943295,0.17027186745530618,0.2076416015625
,0.056001219165032978,0.170166015625,-0.00653076171875,-0.2161865234375,6.5599999999999999e-06,0.17453292519943295,0.17027186745530618,0.2076416015625
,0.057001010931394092,0.170166015625,-0.00653076171875,-0.2161865234375,6.5200000000000003e-06,0.17453292519943295,0.17027186745530618,0.2076416015625
,0.0580018427246074,0.170166015625,-0.00653076171875,-0.2161865234375,6.3200000000000005e-06,0.17453292519943295,0.17027186745530618,0.2076416015625
,0.059001794494626836,0.170166015625,-0.00653076171875,-0.2161865234375,6.4799999999999998e-06,0.17453292519943295,0.17027186745530618,0.2076416015625
,0.060001946270745066,0.170166015625,-0.00653076171875,-0.2161865234375,6.4799999999999998e-06,0.17453292519943295,0.17027186745530618,0.2076416015625
,0.061001338024901486,0.170166015625,-0.00653076171875,-0.2161865234375,6.4799999999999998e-06,0.17453292519943295,0.17027186745530618,0.2076416015625
,0.062001969812008895,0.170166015625,-0.00653076171875,-0.2161865234375,6.4799999999999998e-06,0.17453292519943295,0.17027186745530618,0.2076416015625
,0.063001401562495118,0.170166015625,-0.00653076171875,-0.21759033203125,6.5200000000000003e-06,0.17453292519943295,0.17027186745530618,0.20904541015625
,0.064001673345941867,0.170166015625,-0.00653076171875,-0.21759033203125,6.5200000000000003e-06,0.17453292519943295,0.17027186745530618,0.20904541015625
,0.065001305102533991,0.170166015625,-0.00653076171875,-0.21759033203125,6.5200000000000003e-06,0.17453292519943295,0.17027186745530618,0.20904541015625
,0.066001296868890336,0.170166015625,-0.00653076171875,-0.21759033203125,6.3600000000000001e-06,0.17453292519943295,0.17027186745530618,0.20904541015625
,0.067002168670647677,0.170166015625,-0.00653076171875,-0.21759033203125,6.3200000000000005e-06,0.17453292519943295,0.17027186745530618,0.20904541015625
,0.06800224044189207,0.170166015625,-0.00653076171875,-0.21759033203125,6.4799999999999998e-06,0.17453292519943295,0.17027186745530618,0.20904541015625
,0.069001512188719971,0.170166015625,-0.00653076171875,-0.21759033203125,6.5200000000000003e-06,0.17453292519943295,0.17027186745530618,0.20904541015625
,0.070002263983148794,0.170166015625,-0.00653076171875,-0.21759033203125,6.5200000000000003e-06,0.17453292519943295,0.17027186745530618,0.20904541015625
,0.071001615734857637,0.170166015625,-0.00653076171875,-0.21759033203125,6.4799999999999998e-06,0.17453292519943295,0.17027186745530618,0.20904541015625
,0.072001487499996131,0.170166015625,-0.00653076171875,-0.21759033203125,6.4799999999999998e-06,0.17453292519943295,0.17027186745530618,0.20904541015625
,0.073002319293209439,0.170166015625,-0.00653076171875,-0.21759033203125,6.3200000000000005e-06,0.17453292519943295,0.17027186745530618,0.20904541015625
,0.074002431066894303,0.170166015625,-0.00653076171875,-0.21759033203125,6.5200000000000003e-06,0.17453292519943295,0.17027186745530618,0.20904541015625
,0.07500242283935421,0.170166015625,-0.00653076171875,-0.218994140625,6.5200000000000003e-06,0.17453292519943295,0.17027186745530618,0.21044921875
,0.076001854589840434,0.170166015625,-0.00653076171875,-0.218994140625,6.4799999999999998e-06,0.17453292519943295,0.17027186745530618,0.21044921875
,0.07700232637328952,0.170166015625,-0.00653076171875,-0.218994140625,6.5200000000000003e-06,0.17453292519943295,0.17027186745530618,0.21044921875
,0.078002518151855327,0.170166015625,-0.00653076171875,-0.218994140625,6.4400000000000002e-06,0.17453292519943295,0.17027186745530618,0.21044921875
,0.079001709899898742,0.170166015625,-0.00653076171875,-0.218994140625,6.5200000000000003e-06,0.17453292519943295,0.17027186745530618,0.21044921875
,0.080001901672360987,0.170166015625,-0.00653076171875,-0.218994140625,6.3999999999999997e-06,0.17453292519943295,0.17027186745530618,0.21044921875
